------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  4] local 10.0.0.2 port 5001 connected with 10.0.0.5 port 50769
[ ID] Interval       Transfer     Bandwidth
[  4] 58.0-58.5 sec   173 KBytes  2.83 Mbits/sec
[  4] 58.5-59.0 sec  25.5 KBytes   417 Kbits/sec
[  4] 59.0-59.5 sec   402 KBytes  6.58 Mbits/sec
[  4] 59.5-60.0 sec  45.2 KBytes   741 Kbits/sec
[  4] 60.0-60.5 sec  5.66 KBytes  92.7 Kbits/sec
[  4] 60.5-61.0 sec   325 KBytes  5.33 Mbits/sec
[  4] 61.0-61.5 sec   161 KBytes  2.64 Mbits/sec
[  4] 61.5-62.0 sec  11.3 KBytes   185 Kbits/sec
[  4] 62.0-62.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 62.5-63.0 sec  99.0 KBytes  1.62 Mbits/sec
[  4] 63.0-63.5 sec   370 KBytes  6.07 Mbits/sec
[  4] 63.5-64.0 sec  39.6 KBytes   649 Kbits/sec
